x,y,title,artist,year,cluster,shelf_no,index,description,hover_text,color
-1.8622726,26.662376,Misstrauen,Helene Kuschnarew,2022,2,3.0,0005,,<b>Misstrauen</b><br>Artist: Helene Kuschnarew<br>Year: 2022<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0005,"rgb(190,186,218)"
-16.407309,25.528994,Zwischen den Schatten,Andrii Sachenko,,2,3.0,0191,,<b>Zwischen den Schatten</b><br>Artist: Andrii Sachenko<br>Year: nan<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0191,"rgb(190,186,218)"
-1.6364505,-1.7226863,sunshine,"Fabian, Raphael Sokolowski",2024,4,7.0,0263,,"<b>sunshine</b><br>Artist: Fabian, Raphael Sokolowski<br>Year: 2024<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0263","rgb(128,177,211)"
-1.6671559,25.729761,o.T. (Display),Manuel Boden,2022,4,6.0,0095,,<b>o.T. (Display)</b><br>Artist: Manuel Boden<br>Year: 2022<br>Cluster: 4<br>Shelf: 6.0<br>ID: 0095,"rgb(128,177,211)"
-0.19752231,-25.024994,Flip Flops,Janis Löhrer,2025,1,9.0,0395,,<b>Flip Flops</b><br>Artist: Janis Löhrer<br>Year: 2025<br>Cluster: 1<br>Shelf: 9.0<br>ID: 0395,"rgb(255,255,179)"
4.594384,-24.349184,schwarzer Jackstrap,Janis Löhrer,2025,1,9.0,0406,,<b>schwarzer Jackstrap</b><br>Artist: Janis Löhrer<br>Year: 2025<br>Cluster: 1<br>Shelf: 9.0<br>ID: 0406,"rgb(255,255,179)"
0.90394515,-11.972719,Unvorhergesehenes Ereignis,Andreas Steinbrecher,2020,4,7.0,0011 ,,<b>Unvorhergesehenes Ereignis</b><br>Artist: Andreas Steinbrecher<br>Year: 2020<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0011 ,"rgb(128,177,211)"
4.249952,-9.750843,Sem II,Andreas Steinbrecher,2022,4,7.0,0015,,<b>Sem II</b><br>Artist: Andreas Steinbrecher<br>Year: 2022<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0015,"rgb(128,177,211)"
2.145574,-10.115938,Schrift-Bild,Andreas Steinbrecher,2023,4,7.0,0018,,<b>Schrift-Bild</b><br>Artist: Andreas Steinbrecher<br>Year: 2023<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0018,"rgb(128,177,211)"
4.6286287,-11.21205,Ham,Andreas Steinbrecher,2022,4,7.0,0042,,<b>Ham</b><br>Artist: Andreas Steinbrecher<br>Year: 2022<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0042,"rgb(128,177,211)"
6.81856,-14.797444,STYX,Andreas Steinbrecher,2020,4,7.0,0039,,<b>STYX</b><br>Artist: Andreas Steinbrecher<br>Year: 2020<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0039,"rgb(128,177,211)"
6.743445,-14.782559,STYX,Andreas Steinbrecher,2020,4,7.0,0040,,<b>STYX</b><br>Artist: Andreas Steinbrecher<br>Year: 2020<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0040,"rgb(128,177,211)"
6.81856,-14.797444,STYX,Andreas Steinbrecher,2020,4,7.0,0041,,<b>STYX</b><br>Artist: Andreas Steinbrecher<br>Year: 2020<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0041,"rgb(128,177,211)"
-0.9845358,-16.551128,Cats and Dog,Andreas Steinbrecher,2018,4,7.0,0050,,<b>Cats and Dog</b><br>Artist: Andreas Steinbrecher<br>Year: 2018<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0050,"rgb(128,177,211)"
1.0871451,-12.657532,Verstecktes Tier,Andreas Steinbrecher,2021,4,7.0,0049,,<b>Verstecktes Tier</b><br>Artist: Andreas Steinbrecher<br>Year: 2021<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0049,"rgb(128,177,211)"
5.633941,-11.65861,Haikal,Andreas Steinbrecher,2024,4,7.0,0044,,<b>Haikal</b><br>Artist: Andreas Steinbrecher<br>Year: 2024<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0044,"rgb(128,177,211)"
4.279421,-9.718071,Sem I,Andreas Steinbrecher,2022,4,7.0,0045,,<b>Sem I</b><br>Artist: Andreas Steinbrecher<br>Year: 2022<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0045,"rgb(128,177,211)"
-3.5474753,23.750074,"Counterpart (Off course, Darling)",Linda Skellington,2025,1,1.0,0388,,"<b>Counterpart (Off course, Darling)</b><br>Artist: Linda Skellington<br>Year: 2025<br>Cluster: 1<br>Shelf: 1.0<br>ID: 0388","rgb(255,255,179)"
-4.7611938,7.091322,Air Repair,Manuel Boden,2021/2024,2,3.0,0075,"Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert habe. Pictures of the sky. A sequence of eight images","<b>Air Repair</b><br>Artist: Manuel Boden<br>Year: 2021/2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0075<br><br>Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert hab...","rgb(190,186,218)"
-7.6002207,23.374311,o. T.,Sophie Isabel Urban,2022,4,2.0,0166,,<b>o. T.</b><br>Artist: Sophie Isabel Urban<br>Year: 2022<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0166,"rgb(128,177,211)"
0.308486,25.756834,Tennis,Helene Kuschnarew,2023,1,9.0,0006,,<b>Tennis</b><br>Artist: Helene Kuschnarew<br>Year: 2023<br>Cluster: 1<br>Shelf: 9.0<br>ID: 0006,"rgb(255,255,179)"
-4.0708904,5.229726,Air Repair,Manuel Boden,2021/2024,2,3.0,0077,"Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert habe. Pictures of the sky. A sequence of eight images","<b>Air Repair</b><br>Artist: Manuel Boden<br>Year: 2021/2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0077<br><br>Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert hab...","rgb(190,186,218)"
3.0178123,-14.940698,Double Vision,Andreas Steinbrecher,2021,4,7.0,0012,,<b>Double Vision</b><br>Artist: Andreas Steinbrecher<br>Year: 2021<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0012,"rgb(128,177,211)"
9.121392,-7.793239,o.T.,"Philipp, Emanuel Naujoks",2024,4,7.0,0234,,"<b>o.T.</b><br>Artist: Philipp, Emanuel Naujoks<br>Year: 2024<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0234","rgb(128,177,211)"
-4.0708904,5.229726,Air Repair,Manuel Boden,2021/2024,2,3.0,0076,"Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert habe. Pictures of the sky. A sequence of eight images","<b>Air Repair</b><br>Artist: Manuel Boden<br>Year: 2021/2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0076<br><br>Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert hab...","rgb(190,186,218)"
-5.824258,-7.604582,"Beim Elektrizitätswerk, Mannheim",Lennart Pimpl,2019,4,6.0,0028,,"<b>Beim Elektrizitätswerk, Mannheim</b><br>Artist: Lennart Pimpl<br>Year: 2019<br>Cluster: 4<br>Shelf: 6.0<br>ID: 0028","rgb(128,177,211)"
6.9792504,-3.7610652,Hocker,Paula Rinderle,2024,3,4.0,0060,,<b>Hocker</b><br>Artist: Paula Rinderle<br>Year: 2024<br>Cluster: 3<br>Shelf: 4.0<br>ID: 0060,"rgb(251,128,114)"
2.588793,-13.9129305,Autoportrait I,Andreas Steinbrecher,2020,4,7.0,0010,,<b>Autoportrait I</b><br>Artist: Andreas Steinbrecher<br>Year: 2020<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0010,"rgb(128,177,211)"
-8.580826,15.799556,The Sun,Manuel Boden,2018-ongoing,4,6.0,0093,"Wissenschaftliches Poster über die Sonne, gebleicht durch das Licht eben dieses Sterns. Scientific poster about the sun, bleached by the light of this very star.","<b>The Sun</b><br>Artist: Manuel Boden<br>Year: 2018-ongoing<br>Cluster: 4<br>Shelf: 6.0<br>ID: 0093<br><br>Wissenschaftliches Poster über die Sonne, gebleicht durch das Licht eben dieses Sterns. Scientific poster about the sun, bleached by the light of this...","rgb(128,177,211)"
-5.7832804,27.982477,o. T. (in fleeting memory),Emmélie Lempert,2024,5,8.0,0392,,<b>o. T. (in fleeting memory)</b><br>Artist: Emmélie Lempert<br>Year: 2024<br>Cluster: 5<br>Shelf: 8.0<br>ID: 0392,"rgb(253,180,98)"
