shelf_no,index,id,title,artist,artwork_no,cluster,rank,num_artworks_in_shelf,distance_to_centroid
0.0,0480,bb2b7152-ac6b-4133-b99d-0cd3167531f6,Pomegranate,Paula Rinderle,,5,1,2,0.5005588531494141
0.0,0479,97d1b1ce-77b8-4568-bcb3-be175d03be5f,Nostalgic Chair,Majd Suliman,,5,2,2,0.5005588531494141
1.0,0300,90d10f30-a0f7-4247-8549-702870f146ce,o. T. ,Lucie Gorzolka,,1,1,46,0.3074154257774353
1.0,0308,1837a48f-99e4-48eb-b261-d35032fdfce2,o. T. ,Lucie Gorzolka,,1,2,46,0.31354695558547974
1.0,0413,d0b93c47-88bc-4dad-8b0d-7fbcd5d032c5, o. T. ,Sophie Isabel Urban,,1,3,46,0.32640695571899414
1.0,0414,6bd755a0-6bca-4c45-84bf-da1be34a16aa,o. T. ,Sophie Isabel Urban,,1,4,46,0.32640695571899414
1.0,0412,e332d751-d50b-4bf6-bbe6-a3012e216bb9,o. T. ,Sophie Isabel Urban,,1,5,46,0.32640695571899414
2.0,0157,81c4483f-9978-4418-844b-7f7bf7cb9d73,Pfeil 1,Sophie Isabel Urban,,4,1,44,0.3862552046775818
2.0,0166,39ff8ad6-5f62-44ca-968b-1741593039f7,o. T.,Sophie Isabel Urban,,4,2,44,0.4053654968738556
2.0,0330,b3dcb27a-375e-4123-b4e8-67b3bb39de33,Herbarium- 50 Penni - Estland,Valenta Philipp,,4,3,44,0.41832616925239563
2.0,0328,de62cf3b-7b32-4c21-8538-18bdfa3f04b8,Herbarium - 10 Lari - Georgien,Valenta Philipp,,4,4,44,0.4307454228401184
2.0,0167,7969d035-2da7-4c75-ad0e-461bfdcc63a4,UNTERBAU I–II,Sophie Isabel Urban,,4,5,44,0.44217419624328613
3.0,0088,5a134b0b-a37b-4211-9eeb-65e0392c7c7c,NO,Manuel Boden,,2,1,53,0.3742571175098419
3.0,0174,dbf18420-235c-4f66-91c4-01a28187d3b1,untitled,Franziska Frings,,2,2,53,0.3980199694633484
3.0,0177,3ba0c2b5-13fe-426d-9c51-94c38008b73c,untitled,Franziska Frings,,2,3,53,0.3992551267147064
3.0,0094,5ee3b139-ed05-4d89-b871-be56139e774c,o.T.,Manuel Boden,,2,4,53,0.4287329614162445
3.0,0069,0fb1084a-a880-4191-b095-84f5a2042ce4,Zucht,Paula Rinderle,,2,5,53,0.43442246317863464
4.0,0057,fd12f595-4efb-451a-a561-bfaa3aea0f06,o.T. ,Paulina Hoffmann,,3,1,25,0.34287455677986145
4.0,0451,5ce31962-ad3a-4d50-b9b6-e1f6d1af343f,untitled (Holzsicheln),Franziska Frings,,3,2,25,0.35865944623947144
4.0,0090,e3ac4ef1-4df3-495d-8daa-7c011563e054,o.T.,Manuel Boden,,3,3,25,0.35916271805763245
4.0,0450,c6ffb1e1-8472-42cc-b74b-f3e1da2151db,Semophor,Franziska Frings,,3,4,25,0.3984500765800476
4.0,0454,70da829b-d27b-4093-8c82-85bc91eda806,occme,Franziska Frings,,3,5,25,0.40880247950553894
5.0,0066,d4f19b40-73aa-43a1-be17-cb149e08b525,ohne Titel,Paula Rinderle,,1,1,4,0.38564613461494446
5.0,0310,a73cb3c6-41d9-4f54-a9f5-019ca59d5e12,Stufen,Anna Francesca Fuhrich,,1,2,4,0.3871555030345917
5.0,0481,b821094e-e35b-41cf-859a-956e60d39ecb,"palimpsest memory (I, II, III)",Alisa Kulesh,,1,3,4,0.45573535561561584
5.0,0480,bb2b7152-ac6b-4133-b99d-0cd3167531f6,Pomegranate,Paula Rinderle,,1,4,4,0.5546945929527283
6.0,0169,a5817583-7978-470e-8be9-b66badd63c1e,untitled (Dypt.),Franziska Frings,,4,1,14,0.3932396471500397
6.0,0217,0185521f-9eff-4ea9-a1a3-6a44d325811a,Dazwischen/ in-between,Tabea Borchardt,,4,2,14,0.40930214524269104
6.0,0468,dee7a782-ba71-48ae-acd6-abb2e6defbfd,X-555,Alisa Kulesh,,4,3,14,0.4288528263568878
6.0,0179,c00a28a4-5a38-4647-bb17-2d699dec7d36,Untitled Figure (The Monster),Simon Wienk-Borgert,,4,4,14,0.4523979425430298
6.0,0028,64366c5d-7714-4611-bab1-3017f88a9e25,"Beim Elektrizitätswerk, Mannheim",Lennart Pimpl,,4,5,14,0.4744686782360077
7.0,0011 ,f2468398-e185-443c-98b7-5cec43dcf943,Unvorhergesehenes Ereignis,Andreas Steinbrecher,,4,1,30,0.300357460975647
7.0,0009,d383af6a-b0fe-4679-80b3-0c151fee7c83,Grube,Andreas Steinbrecher,,4,2,30,0.3110980987548828
7.0,0015,24d6107c-a41b-4a96-8980-1ab451859d98,Sem II,Andreas Steinbrecher,,4,3,30,0.32278120517730713
7.0,0044,f62d02a6-93ea-4141-bbc3-7432b7ae80b1,Haikal,Andreas Steinbrecher,,4,4,30,0.3239567279815674
7.0,0045,6468a6e6-ea42-47c3-8d88-42d352042c53,Sem I,Andreas Steinbrecher,,4,5,30,0.33770623803138733
